region_id,gx,gy,sw_lat,sw_lng,ne_lat,ne_lng
399,154,34,40.778986071874,-73.9052303566239,40.79697415233789,-73.8815059227275
400,155,34,40.77896415160051,-73.88153797177775,40.796947353728825,-73.85780714543415
401,156,34,40.77893736016486,-73.8578456042635,40.79691568265913,-73.83410838895593
402,157,34,40.77890569757281,-73.83415325754748,40.79687913913569,-73.81040965676195
403,158,34,40.778869163831274,-73.81046093509603,40.79683772316647,-73.78671095232136
404,159,34,40.778827758948196,-73.78676864037543,40.796791434760465,-73.76301227910324
405,160,34,40.778781482932565,-73.76307637685198,40.79674027392771,-73.73931364057665
419,150,35,40.797035058307316,-74.0,40.81504258727796,-73.97629475737818
420,151,35,40.79703262206747,-73.9763011706687,40.815035276602266,-73.95258951822838
421,152,35,40.79702531334849,-73.95260234480659,40.815023092144536,-73.92888428602264
422,153,35,40.797013132151974,-73.9289035258829,40.81500603390741,-73.90517906423293
423,154,35,40.79699607848053,-73.9052047173668,40.8149841018946,-73.88147385633128
424,155,35,40.79697415233789,-73.8815059227275,40.8149572961109,-73.85776866578968
425,156,35,40.796947353728825,-73.85780714543415,40.814925616562064,-73.83406349608009
426,157,35,40.79691568265913,-73.83410838895593,40.81488906325505,-73.81035835067449
427,158,35,40.79687913913569,-73.81040965676195,40.81484763619778,-73.7866532330448
444,151,36,40.81504258727796,-73.97629475737818,40.83304518690122,-73.95257668470613
445,152,36,40.815035276602266,-73.95258951822838,40.833032999181704,-73.9288650357463
446,153,36,40.815023092144536,-73.92888428602264,40.833015936378104,-73.905153397211
447,154,36,40.81500603390741,-73.90517906423293,40.83299399849411,-73.88144177257502
448,155,36,40.8149841018946,-73.88147385633128,40.83296718553453,-73.85773016531317
449,156,36,40.8149572961109,-73.85776866578968,40.832935497505126,-73.83401857890027
450,157,36,40.814925616562064,-73.83406349608009,40.832898934412846,-73.81030701681111
451,158,36,40.81488906325505,-73.81035835067449,40.832857496265596,-73.78659548252041
469,152,37,40.83304518690122,-73.95257668470613,40.8510428514866,-73.92884577504547
470,153,37,40.833032999181704,-73.9288650357463,40.85102578411574,-73.90512771628971
471,154,37,40.833015936378104,-73.905153397211,40.85100384035956,-73.88140967144457
472,155,37,40.83299399849411,-73.88144177257502,40.85097702022285,-73.85769164398772
473,156,37,40.83296718553453,-73.85773016531317,40.8509453237114,-73.83397363739674
474,157,37,40.832935497505126,-73.83401857890027,40.85090875083215,-73.81025565514925
475,158,37,40.832898934412846,-73.81030701681111,40.85086730159302,-73.78653770072282
476,159,37,40.832857496265596,-73.78659548252041,40.85082097600303,-73.762819777595
493,152,38,40.85105504246844,-73.9525638442342,40.869052647281855,-73.92882650391165
494,153,38,40.8510428514866,-73.92884577504547,40.869035575342934,-73.90510202145781
495,154,38,40.85102578411574,-73.90512771628971,40.86901362571356,-73.8813775529259
496,155,38,40.85100384035956,-73.88140967144457,40.86898679839848,-73.85765310179639
